_id,jobTitle,jobType,jobDesc
5ef79e2defb37d3dccabae56,Trainer Part-Time,Part Time,"TrainerPartTime          Pria - Wanita          Usia 21 - 35 Tahun          Lulusan D3 - S1          Aktif Lisan, Supel & Ramah          Sop"
5ef79e2defb37d3dccabae57,Graphic Design Part Time/Full Time,Full Time,"PT Eannovate Creative Technology (Eannovate) merupakan perusahaan yang bergerak di bidang jasa Branding, IT consulting (website, mobile apps, 3D, games) dan Creative Consulting. Saat ini kami juga ten"
5ef79e2defb37d3dccabae58,Lowongan Trainer Part-Time & Full-Time,Freelance,"Kami dari WebHozz (PT WebHozz Media), adalah Perusahaan yang bergerak dibidang IT Training dan sedang berkembang dengan membuka kantor-kantor cabang baru di Indonesia. Saat ini kami memiliki kantor"
5ef79e2defb37d3dccabae59,Open Recruitment Inspirator Freak,Freelance,"Job Title Open Recruitment Inspirator Freak Job Description AyO Galih potensi dan bakat kamu bersama anak muda kreatif dan inspiratif lainnya  di Inspirator Freak's Crew. Kamu bisa apply posisi"
5ef79e2defb37d3dccabae5a,Brand Officer,Part Time,Scope of Work: Develop and execute brand development & marketing activities for ST22 Consulting (online and offline activity) Create strategic & maintain relationship with ST22 Partners (Media
5ef79e2defb37d3dccabae5b,Intern/Full-Time/ Part-Time Graphic Design Designer,Full Time,"As a growing business, we are always looking to recruit passionate, talented, creative and innovative individuals to join our team. We welcome and encourage employee involvement and recognize the impa"
5ef79e2defb37d3dccabae5c,Social Media & Online Marketing @ CREATIVITIME Pictures,Part Time,CREATIVITIME Pictures is a Corporate Film/Video Production house & Integrated Marketing Solutions company which was established since 2012. Currently we open a part time vacancy for Social Media
5ef79e2defb37d3dccabae5d,Part Time Programmer,Part Time,"Dibutuhkan segera Programmer (Bisa Part Time, Bisa Freelance) Syarat: - Menguasai HTML5, PHP, MySQL - Menguasai UI/UX - Pria / Wanita, minimum pendidikan SMK/SMA, Diutamakan lulusan"
5ef79e2defb37d3dccabae5e,Partimer Admin Dewanstudio,Part Time,"Dicari seorang Admin, bekerja di PT Dewanstudio Media Digital (www.dewanstudio.com) lokasi di Komplek Bangun Reksa Indah 1 Blok B No 10 Karang Tengah, Tangerang. Dengan syarat sebagai berikut : -"
5ef79e2defb37d3dccabae5f,Programmer for Unifitindonesia.com,Part Time,"Dibutuhkan programmer untuk e-commerce unifitindonesia.com Job desc: Maintain website and dashboard, Develop new features, fix bugs & errrors. Lokasi: Sudirman, Jakarta Pusat Facility: Discuss Com"
5ef79e2defb37d3dccabae60,PartTimer Desain Grafis untuk SMA dan Mahasiswa/i,Part Time,"Helo, Kami membutuhkan parttimer untuk daerah Ciledug, Tangerang, Bintaro, Karang Tengah untuk kerja di kantor kami di Bangun Reksa Indah 1 Blok B No 12. Pekerjaan berupa : 1. desain banner 2. updated"
5ef79e2defb37d3dccabae61,Part Time - Account Executive,Part Time,"Dibutuhkan Account Executive Pria / Wanita Part Time, Untuk melakukan meeting dan deal dengan client fasilitas gaji, uang transport dan juga komisi persentase dari setiap deal yang dihasilkan. Produk"
5ef79e2defb37d3dccabae62,Chief Shopping Officer ShopBack Indonesia,Part Time,Apakah kamu seorang yang hobi belanja online dan pengen dibayarin belanja Rp 30 juta secara cuma-cuma oleh ShopBack Indonesia setiap bulannya? Saatnya daftarkan diri kamu untuk menjadi Chief Shopping
5ef79e2defb37d3dccabae63,Data Entry Part Time work from home Flexible Hours (Easy Work),Part Time,Apprentice / Trainee Administrator (Easy Job) Job Title: Data Entry Admin - Flexible Hours (Work From Home) Functional Area: Administrator Total Position: 4 or 5 Job Type: Part Time (20 - 2
5ef79e2defb37d3dccabae64,Programmer Bandung,Part Time,"Persyaratan   Pria - Wanita   Usia 21 - 35 Tahun   Lulusan D3 - S1   Aktif Lisan, Supel & Ramah   Sopan & Berpakaian Rapih   Loyalitas Tinggi   Pengalaman Min 1 Tahu"
5ef79e2defb37d3dccabae65,Trainer Part-Time di Jakarta Timur,Part Time,"Buat kamu yang memiliki skill IT dan ingin berbagi ilmu, WebHozz Training membuka kesempatan untuk bergabung menjadi Pengajar / Trainer Part-Time di cabang WebHozz Pos Pengumben, Kalimalang & P"
5ef79e2defb37d3dccabae66,Open Recruitment Anggota ARI 2016,Part Time,Job Title Open Recruitment Anggota ARI 2016 Job Description Kamu anak muda usia 10-24 tahun? Mau mengekspresikan diri atau mau tau bagaimana mengekspresikan diri menjadi remaja bermakna? Aliansi Remaj
5ef79e2defb37d3dccabae67,Part Time Recruitment Consultant - Account Manager Labour Supply,Part Time,Job Title Recruitment Consultant - Account Manager Labour Supply Job Description Recruitment Consultant / Account Manager Labour Supply In order facilitate further growth and develop our labour
5ef79e2defb37d3dccabae68,Data Entry Administrator,Freelance,Job Title Data Entry Administrator Job Description Apprentice / Trainee Administrator (Easy Job) Job Title: Data Entry Admin - Flexible Hours (Work From Home) Functional Area: Administrator Total
5ef79e2defb37d3dccabae69,Work From Home Administrator,Freelance,Apprentice / Trainee Administrator (Easy Job) Job Title: Data Entry Admin - Flexible Hours (Work From Home) Functional Area: Administrator Total Position: 5 Job Type: Part Time (20 - 24 hou
5ef79e2defb37d3dccabae6a,Marketing Administrator,Freelance,Job Title Marketing Administrator Job Description Apprentice / Trainee Administrator (Easy Job) Job Title: Data Entry Admin - Flexible Hours (Work From Home) Functional Area: Administrator Total P
5ef79e2defb37d3dccabae6b,Part Time Administrator,Freelance,Job Title Part Time Administrator Job Description Apprentice / Trainee Administrator (Easy Job) Job Title: Data Entry Admin - Flexible Hours (Work From Home) Functional Area: Administrator Total P
5ef79e2defb37d3dccabae6c,Social Media Marketing (Internetship/Part time/Full time),Full Time,Job Title Social Media Marketing (Internetship/Part time/Full time) Job Description Introduction: We are a startup manufacturing company specializing in bath products. Currently we are looking for ene
5ef79e2defb37d3dccabae6d,Part Time Graphic Designer,Part Time,Job Title part Time Graphic Designer Job Description Functional Area: Creative / Graphic Design Total Position: 2 Job Type: Part Time (24 hours per week) Career Level: Young Professional Minimum E
5ef79e2defb37d3dccabae6e,Admin/ Customer service Needed for Kids shoe Brand Online,Part Time,Job Title Admin/ Customer service Needed for Kids shoe Brand Online Job Description A new kids shoes Brand Just recently launched. We are looking for  a student with Great Personality Join with our T
5ef79e2defb37d3dccabae6f,Part Time Graphic Designer / Desainer Grafis,Part Time,Job Title Graphic Designer / Desainer Grafis Job Description GRAPHIC DESIGNER Functional Area: Creative / Graphic Design Total Position: 2 Job Type: Part Time (24 hours per week) Career Level: You
