_id,name,processor,clockspeed,score.singlecore,score.multicore
5f019f0d5ec1300dec25f9e3,Samsung Galaxy Tab S2 9.7,Samsung Exynos 5433,1.3,203,631
5f019f0d5ec1300dec25f9e4,NVIDIA SHIELD Tablet K1,NVIDIA Tegra K1,2.2,201,696
5f019f0d5ec1300dec25f9e5,UMi Z,Mediatek Helio X27,1.5,198,982
5f019f0d5ec1300dec25f9e6,Huawei Mate SE,HiSilicon Kirin 659,1.7,193,884
5f019f0d5ec1300dec25f9e7,Huawei Honor 7X,HiSilicon Kirin 659,1.7,191,873
5f019f0d5ec1300dec25f9e8,Huawei Nova 2 Plus,HiSilicon Kirin 659,1.7,191,869
5f019f0d5ec1300dec25f9e9,Huawei Mate 10 Lite,HiSilicon Kirin 659,1.7,190,844
5f019f0d5ec1300dec25f9ea,Huawei P20 Lite,HiSilicon Kirin 659,1.7,190,876
5f019f0d5ec1300dec25f9eb,Huawei P Smart,HiSilicon Kirin 659,1.7,190,859
5f019f0d5ec1300dec25f9ec,Huawei Honor 9 Lite,HiSilicon Kirin 659,1.7,190,856
5f019f0d5ec1300dec25f9ed,Huawei Nova 2,HiSilicon Kirin 659,1.7,190,862
5f019f0d5ec1300dec25f9ee,Xiaomi Mi 4c,Qualcomm Snapdragon 808,1.4,189,455
5f019f0d5ec1300dec25f9ef,Elephone S8,Mediatek MT6797T Helio X25,2,188,820
5f019f0d5ec1300dec25f9f0,Vernee Mars Pro,Mediatek MT6757 Helio P25,1.7,186,966
5f019f0d5ec1300dec25f9f1,Huawei P10 Lite,HiSilicon Kirin 658,1.7,185,825
5f019f0d5ec1300dec25f9f2,Huawei Nova 2i,HiSilicon Kirin 659,1.7,184,763
5f019f0d5ec1300dec25f9f3,Vivo V9,Qualcomm Snapdragon 626,2.2,184,1018
5f019f0d5ec1300dec25f9f4,BQ Aquaris X Pro,Qualcomm Snapdragon 626,2.2,184,1037
5f019f0d5ec1300dec25f9f5,10.or G,Qualcomm Snapdragon 626,2.2,183,1058
5f019f0d5ec1300dec25f9f6,BQ Aquaris X,Qualcomm Snapdragon 626,2.2,182,1044
5f019f0d5ec1300dec25f9f7,LG Nexus 5X,Qualcomm Snapdragon 808,1.4,180,445
5f019f0d5ec1300dec25f9f8,HTC 10 evo,Qualcomm Snapdragon 810,1.6,180,566
5f019f0d5ec1300dec25f9f9,Maze Alpha,Mediatek MT6757 Helio P25,1.7,179,707
5f019f0d5ec1300dec25f9fa,Doogee Mix,Mediatek MT6757 Helio P25,1.7,178,790
5f019f0d5ec1300dec25f9fb,Vernee Mix 2,Mediatek MT6757 Helio P25,1.7,177,700
5f019f0d5ec1300dec25f9fc,Qihoo 360 N6 Lite,Qualcomm Snapdragon 630,2.2,177,966
5f019f0d5ec1300dec25f9fd,Samsung Galaxy C7 Pro,Qualcomm Snapdragon 626,2.2,176,1019
5f019f0d5ec1300dec25f9fe,Lenovo Tab3 8 Plus,Qualcomm Snapdragon 625,2,176,1039
5f019f0d5ec1300dec25f9ff,Bluboo S1,Mediatek MT6757 Helio P25,1.7,176,697
5f019f0d5ec1300dec25fa00,Xiaomi Redmi 4,Qualcomm Snapdragon 430,2,175,995
5f019f0d5ec1300dec25fa01,Nextbit Robin,Qualcomm Snapdragon 808,1.4,175,423
5f019f0d5ec1300dec25fa02,Motorola Moto X4,Qualcomm Snapdragon 630,2.2,175,973
5f019f0d5ec1300dec25fa03,Nokia 6.1,Qualcomm Snapdragon 630,2.2,175,975
5f019f0d5ec1300dec25fa04,Lenovo K8 Plus,Mediatek MT6757 Helio P25,1.7,174,759
5f019f0d5ec1300dec25fa05,Motorola Moto G6 Plus,Qualcomm Snapdragon 630,2.2,174,963
5f019f0d5ec1300dec25fa06,Huawei Nova,Qualcomm Snapdragon 625,2,173,958
5f019f0d5ec1300dec25fa07,Asus Zenfone 4,Qualcomm Snapdragon 630,2.2,173,987
5f019f0d5ec1300dec25fa08,Doogee S60,Mediatek Helio P20 MT6757,2.6,173,865
5f019f0d5ec1300dec25fa09,Blackview BV8000 Pro,Mediatek MT6757 Helio P25,1.7,173,838
5f019f0d5ec1300dec25fa0a,Oppo R9s,Qualcomm Snapdragon 625,2,172,996
5f019f0d5ec1300dec25fa0b,Samsung Galaxy C5 Pro,Qualcomm Snapdragon 626,2.2,172,941
5f019f0d5ec1300dec25fa0c,Sharp Aquos S2,Qualcomm Snapdragon 630,2.2,172,988
